_id,ilce_adi,mahalle_adi,hayvan_beslemede_kullanilan_urunler
274,Derebucak,TAŞLIPINAR,"SAMAN, HAZIR YEM"
275,Derebucak,TEPEARASI,"SAMAN, HAZIR YEM"
276,Derebucak,UĞURLU,"FİĞ, ARPA"
277,Doğanhisar,BAŞKÖY,"ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM"
278,Doğanhisar,YAZLICA,"ARPA, SAMAN"
279,Doğanhisar,AYASLAR,"SAMAN, YONCA, HAZIR YEM"
280,Doğanhisar,ÇINAROBA,"FİĞ, ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM"
281,Doğanhisar,DEŞTİĞİN,"FİĞ, SAMAN, YONCA, HAZIR YEM"
282,Doğanhisar,FIRINLI,"BUĞDAY, FİĞ, ARPA, HAZIR YEM"
283,Doğanhisar,GÜVENDİK,"YULAF, FİĞ, KÜSPE, ARPA, SAMAN, YONCA, HAZIR YEM"
284,Doğanhisar,İLYASLAR,HAZIR YEM
285,Doğanhisar,KARAAĞA,SİLAJLIK MISIR
286,Doğanhisar,KEMER,"FİĞ, YONCA"
287,Doğanhisar,KOÇAŞ,"SAMAN, YONCA, SİLAJLIK MISIR"
288,Doğanhisar,KONAKKALE,"YULAF, FİĞ, ARPA, HAZIR YEM"
289,Doğanhisar,TEKKE,"BUĞDAY, FİĞ, KÜSPE, ARPA, SAMAN, YONCA"
290,Doğanhisar,UNCULAR,"FİĞ, ARPA, YONCA, SİLAJLIK MISIR"
291,Doğanhisar,YAZIR,"YULAF, FİĞ, ARPA, YONCA"
292,Doğanhisar,YENİCE,"FİĞ, ARPA, SAMAN, YONCA"
293,Emirgazi,EKİZLİ,HAZIR YEM
294,Emirgazi,AKMESCİT,"YULAF, ARPA, SAMAN, HAZIR YEM"
295,Emirgazi,BESCİ,"BUĞDAY, ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM"
296,Emirgazi,DEMİRCİ,"ARPA, YONCA, SİLAJLIK MISIR"
297,Emirgazi,GÖLÖREN,"YULAF, FİĞ, ARPA, SAMAN, YONCA"
298,Emirgazi,IŞIKLAR,"SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM"
299,Emirgazi,KARAÖREN,"ARPA, ÇAVDAR, HAZIR YEM"
300,Emirgazi,MEŞELİ,"BUĞDAY, ARPA, YONCA, SİLAJLIK MISIR"
301,Emirgazi,ÖBEKTAŞ,"KÜSPE, ARPA, SİLAJLIK MISIR, HAZIR YEM"
302,Emirgazi,YAMAÇ,"SAMAN, YONCA"
303,Ereğli,ZENGEN,"YULAF, FİĞ, KÜSPE, YONCA, SİLAJLIK MISIR, HAZIR YEM"
304,Ereğli,ACIPINAR,"FİĞ, YONCA, SİLAJLIK MISIR, HAZIR YEM"
305,Ereğli,ADABAĞ,"ARPA, YONCA, SİLAJLIK MISIR"
306,Ereğli,AKHÜYÜK,"BUĞDAY, FİĞ, SİLAJLIK MISIR"
307,Ereğli,ALHAN,"BUĞDAY, KÜSPE, ARPA, YONCA, SİLAJLIK MISIR"
308,Ereğli,AŞAĞI GÖNDELEN,"FİĞ, YONCA, SİLAJLIK MISIR"
309,Ereğli,AŞIKLAR,"SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM"
310,Ereğli,AZİZİYE,"ARPA, SAMAN, YONCA, SİLAJLIK MISIR"
311,Ereğli,BAHÇELİ,"BUĞDAY, ARPA, YONCA, SİLAJLIK MISIR, HAZIR YEM"
312,Ereğli,BELCEAĞAÇ,"FİĞ, YONCA, SİLAJLIK MISIR, HAZIR YEM"
313,Ereğli,BELKAYA,"FİĞ, ARPA, ÇAVDAR, SAMAN, YONCA"
314,Ereğli,BEYKÖY,"SİLAJLIK MISIR, HAZIR YEM"
315,Ereğli,BEYÖREN,"KÜSPE, ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM"
316,Ereğli,BULGURLUK,"ARPA, YONCA, SİLAJLIK MISIR, HAZIR YEM"
317,Ereğli,BURHANİYE,"ARPA, YONCA, HAZIR YEM"
318,Ereğli,BÜYÜKDEDE,"ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM"
319,Ereğli,ÇAKMAK,"BUĞDAY, ARPA, SAMAN"
