_id,tarih,deger,birim
520,2014-05-26T00:00:00,34915,Ton
521,2014-05-27T00:00:00,36675,Ton
522,2014-05-28T00:00:00,28505,Ton
523,2014-05-29T00:00:00,30495,Ton
524,2014-05-30T00:00:00,29725,Ton
525,2014-05-31T00:00:00,31215,Ton
526,2014-01-06T00:00:00,14195,Ton
527,2014-02-06T00:00:00,36505,Ton
528,2014-03-06T00:00:00,35320,Ton
529,2014-04-06T00:00:00,30965,Ton
530,2014-05-06T00:00:00,31185,Ton
531,2014-06-06T00:00:00,28950,Ton
532,2014-07-06T00:00:00,29460,Ton
533,2014-08-06T00:00:00,15300,Ton
534,2014-09-06T00:00:00,35710,Ton
535,2014-10-06T00:00:00,35995,Ton
536,2014-11-06T00:00:00,29735,Ton
537,2014-12-06T00:00:00,30840,Ton
538,2014-06-13T00:00:00,29350,Ton
539,2014-06-14T00:00:00,30340,Ton
540,2014-06-15T00:00:00,18410,Ton
541,2014-06-16T00:00:00,36200,Ton
542,2014-06-17T00:00:00,35660,Ton
543,2014-06-18T00:00:00,30350,Ton
544,2014-06-19T00:00:00,31010,Ton
545,2014-06-20T00:00:00,29150,Ton
546,2014-06-21T00:00:00,29900,Ton
547,2014-06-22T00:00:00,17460,Ton
548,2014-06-23T00:00:00,40180,Ton
549,2014-06-24T00:00:00,37180,Ton
550,2014-06-25T00:00:00,35445,Ton
551,2014-06-26T00:00:00,34805,Ton
552,2014-06-27T00:00:00,34290,Ton
553,2014-06-28T00:00:00,31620,Ton
554,2014-06-29T00:00:00,15380,Ton
555,2014-06-30T00:00:00,33485,Ton
556,2014-01-07T00:00:00,32365,Ton
557,2014-02-07T00:00:00,30125,Ton
558,2014-03-07T00:00:00,28365,Ton
559,2014-04-07T00:00:00,30490,Ton
560,2014-05-07T00:00:00,30475,Ton
561,2014-06-07T00:00:00,16075,Ton
562,2014-07-07T00:00:00,37080,Ton
563,2014-08-07T00:00:00,32450,Ton
564,2014-09-07T00:00:00,29340,Ton
565,2014-10-07T00:00:00,32165,Ton
566,2014-11-07T00:00:00,27675,Ton
567,2014-12-07T00:00:00,27935,Ton
568,2014-07-13T00:00:00,16305,Ton
569,2014-07-14T00:00:00,36810,Ton
570,2014-07-15T00:00:00,32465,Ton
571,2014-07-16T00:00:00,33440,Ton
572,2014-07-17T00:00:00,30320,Ton
573,2014-07-18T00:00:00,30100,Ton
574,2014-07-19T00:00:00,27505,Ton
575,2014-07-20T00:00:00,17515,Ton
576,2014-07-21T00:00:00,42715,Ton
577,2014-07-22T00:00:00,34630,Ton
578,2014-07-23T00:00:00,29530,Ton
579,2014-07-24T00:00:00,32615,Ton
580,2014-07-25T00:00:00,28925,Ton
581,2014-07-26T00:00:00,38155,Ton
582,2014-07-27T00:00:00,35950,Ton
583,2014-07-28T00:00:00,30430,Ton
584,2014-07-29T00:00:00,27430,Ton
585,2014-07-30T00:00:00,20375,Ton
586,2014-07-31T00:00:00,25285,Ton
587,2014-01-08T00:00:00,25205,Ton
588,2014-02-08T00:00:00,30315,Ton
589,2014-03-08T00:00:00,15675,Ton
590,2014-04-08T00:00:00,36015,Ton
591,2014-05-08T00:00:00,35465,Ton
592,2014-06-08T00:00:00,34625,Ton
593,2014-07-08T00:00:00,29980,Ton
594,2014-08-08T00:00:00,32145,Ton
595,2014-09-08T00:00:00,32020,Ton
596,2014-10-08T00:00:00,14430,Ton
597,2014-11-08T00:00:00,38895,Ton
598,2014-12-08T00:00:00,36735,Ton
599,2014-08-13T00:00:00,32865,Ton
600,2014-08-14T00:00:00,31505,Ton
601,2014-08-15T00:00:00,31325,Ton
602,2014-08-16T00:00:00,30675,Ton
603,2014-08-17T00:00:00,14150,Ton
604,2014-08-18T00:00:00,39040,Ton
605,2014-08-19T00:00:00,39215,Ton
606,2014-08-20T00:00:00,33020,Ton
607,2014-08-21T00:00:00,32790,Ton
608,2014-08-22T00:00:00,31565,Ton
